City,Country,Temperature,Humidity,Cloudiness,Windspeed,Latitude,Longitude,Date
saldanha,ZA,61.05,85,95,18.61,-33.0117,17.9442,1668978766
barrow,US,23.02,74,100,14.97,71.2906,-156.7887,1668978766
aranda de duero,ES,48.79,88,100,7.54,41.6704,-3.6892,1668978767
requena,ES,53.53,79,72,10.65,39.4883,-1.1004,1668978767
ancud,CL,56.53,52,1,3.38,-41.8697,-73.8203,1668978768
east london,ZA,62.98,79,13,8.79,-33.0153,27.9116,1668978768
comodoro rivadavia,AR,60.66,39,0,17.27,-45.8667,-67.5,1668978708
nanortalik,GL,27.36,85,100,12.64,60.1432,-45.2371,1668978768
erenhot,CN,22.39,39,0,7.02,43.6475,111.9767,1668978769
chuy,UY,72.37,77,100,12.46,-33.6971,-53.4616,1668978769
sangre grande,TT,83.89,84,38,8.93,10.5835,-61.1177,1668978769
ribeira grande,PT,66.78,94,75,12.66,38.5167,-28.7,1668978770
varhaug,NO,32.49,50,96,5.37,58.6147,5.6457,1668978770
busselton,AU,49.24,82,0,12.01,-33.65,115.3333,1668978770
qaanaaq,GL,-8.27,70,2,4.52,77.484,-69.3632,1668978771
cidreira,BR,70.97,80,95,22.26,-30.1811,-50.2056,1668978771
pacific grove,US,72.55,29,0,4.61,36.6177,-121.9166,1668978771
cape town,ZA,64.27,67,13,14.0,-33.9258,18.4232,1668978771
vaini,TO,76.64,71,100,9.73,-21.2,-175.2,1668978772
albany,US,30.85,32,35,7.0,42.6001,-73.9662,1668978772
atuona,PF,77.61,73,7,13.15,-9.8,-139.0333,1668978773
talnakh,RU,-18.92,95,97,4.99,69.4865,88.3972,1668978773
uivar,RO,43.32,83,100,9.55,45.6581,20.9058,1668978773
katangli,RU,27.81,78,23,9.6,51.7102,143.2326,1668978774
georgetown,MY,80.53,89,20,1.14,5.4112,100.3354,1668978734
rikitea,PF,67.3,86,100,13.15,-23.1203,-134.9692,1668978774
garowe,SO,74.25,65,67,13.53,8.4054,48.4845,1668978774
meulaboh,ID,74.3,94,100,3.27,4.1363,96.1285,1668978536
victoria,HK,75.38,82,27,5.01,22.2855,114.1577,1668978670
longyearbyen,SJ,37.24,81,75,19.57,78.2186,15.6401,1668978775
mahibadhoo,MV,80.74,80,100,17.2,3.7833,72.9667,1668978775
tuktoyaktuk,CA,16.72,95,100,7.78,69.4541,-133.0374,1668978775
bambous virieux,MU,73.65,78,40,4.61,-20.3428,57.7575,1668978776
hualmay,PE,68.72,73,74,8.88,-11.0964,-77.6139,1668978776
touros,BR,79.16,76,77,15.66,-5.1989,-35.4608,1668978775
huanren,CN,36.16,98,100,4.0,41.2647,125.3667,1668978777
avarua,CK,77.05,61,20,17.27,-21.2078,-159.775,1668978777
kawalu,ID,71.92,91,96,1.79,-7.3817,108.2082,1668978777
