City,Country,Latitude,Temperature,Humidity,Cloudiness,Windspeed,Date
saldanha,ZA,-33.0117,61.05,85,95,18.61,1668978766
barrow,US,71.2906,23.02,74,100,14.97,1668978766
aranda de duero,ES,41.6704,48.79,88,100,7.54,1668978767
requena,ES,39.4883,53.53,79,72,10.65,1668978767
ancud,CL,-41.8697,56.53,52,1,3.38,1668978768
east london,ZA,-33.0153,62.98,79,13,8.79,1668978768
comodoro rivadavia,AR,-45.8667,60.66,39,0,17.27,1668978708
nanortalik,GL,60.1432,27.36,85,100,12.64,1668978768
erenhot,CN,43.6475,22.39,39,0,7.02,1668978769
chuy,UY,-33.6971,72.37,77,100,12.46,1668978769
sangre grande,TT,10.5835,83.89,84,38,8.93,1668978769
ribeira grande,PT,38.5167,66.78,94,75,12.66,1668978770
varhaug,NO,58.6147,32.49,50,96,5.37,1668978770
busselton,AU,-33.65,49.24,82,0,12.01,1668978770
qaanaaq,GL,77.484,-8.27,70,2,4.52,1668978771
cidreira,BR,-30.1811,70.97,80,95,22.26,1668978771
pacific grove,US,36.6177,72.55,29,0,4.61,1668978771
cape town,ZA,-33.9258,64.27,67,13,14.0,1668978771
vaini,TO,-21.2,76.64,71,100,9.73,1668978772
albany,US,42.6001,30.85,32,35,7.0,1668978772
atuona,PF,-9.8,77.61,73,7,13.15,1668978773
talnakh,RU,69.4865,-18.92,95,97,4.99,1668978773
uivar,RO,45.6581,43.32,83,100,9.55,1668978773
katangli,RU,51.7102,27.81,78,23,9.6,1668978774
georgetown,MY,5.4112,80.53,89,20,1.14,1668978734
rikitea,PF,-23.1203,67.3,86,100,13.15,1668978774
garowe,SO,8.4054,74.25,65,67,13.53,1668978774
meulaboh,ID,4.1363,74.3,94,100,3.27,1668978536
victoria,HK,22.2855,75.38,82,27,5.01,1668978670
longyearbyen,SJ,78.2186,37.24,81,75,19.57,1668978775
mahibadhoo,MV,3.7833,80.74,80,100,17.2,1668978775
tuktoyaktuk,CA,69.4541,16.72,95,100,7.78,1668978775
bambous virieux,MU,-20.3428,73.65,78,40,4.61,1668978776
hualmay,PE,-11.0964,68.72,73,74,8.88,1668978776
touros,BR,-5.1989,79.16,76,77,15.66,1668978775
huanren,CN,41.2647,36.16,98,100,4.0,1668978777
avarua,CK,-21.2078,77.05,61,20,17.27,1668978777
kawalu,ID,-7.3817,71.92,91,96,1.79,1668978777
vao,NC,-22.6667,74.05,76,26,10.56,1668978777
hilo,US,19.7297,80.33,76,20,10.36,1668978778
ushuaia,AR,-54.8,49.62,71,75,13.8,1668978778
chibombo,ZM,-14.6569,73.78,42,28,4.72,1668978778
verkhnevilyuysk,RU,63.4453,-26.9,100,64,2.17,1668978779
otacilio costa,BR,-27.4831,71.42,59,38,6.42,1668978779
ahipara,NZ,-35.1667,61.47,90,100,12.93,1668978513
lebu,CL,-37.6167,57.94,63,0,24.38,1668978779
puerto ayora,EC,-0.7393,75.16,92,100,5.01,1668978780
beringovskiy,RU,63.05,-3.24,88,31,19.95,1668978568
aksu,CN,41.1231,34.97,41,44,1.43,1668978780
mehamn,NO,71.0357,35.55,87,75,5.75,1668978780
nakhon phanom,TH,17.3333,70.05,85,74,3.24,1668978781
kapaa,US,22.0752,82.38,75,40,17.27,1668978781
nikolskoye,RU,59.7035,22.91,98,82,2.8,1668978781
chokurdakh,RU,70.6333,-32.39,100,96,4.94,1668978782
mataura,NZ,-46.1927,58.48,68,82,3.69,1668978782
punta arenas,CL,-53.15,53.71,54,75,21.85,1668978519
port alfred,ZA,-33.5906,60.19,92,10,8.5,1668978783
camopi,GF,3.1655,79.74,67,100,2.35,1668978783
tessalit,ML,20.1986,72.72,13,57,9.62,1668978783
barra do garcas,BR,-15.89,88.0,43,25,7.27,1668978784
hobart,AU,-42.8794,50.25,68,40,13.8,1668978784
bethel,US,41.3712,33.89,38,0,12.66,1668978784
hithadhoo,MV,-0.6,79.9,79,5,8.99,1668978785
butaritari,KI,3.0707,80.22,81,20,12.57,1668978785
port-gentil,GA,-0.7193,76.96,88,20,5.75,1668978785
tafresh,IR,34.692,43.03,46,0,3.89,1668978786
may pen,JM,17.9645,85.21,66,57,10.27,1668978496
yellowknife,CA,62.456,21.72,79,75,8.05,1668978726
viedma,AR,-40.8135,60.91,47,12,19.15,1668978786
bafq,IR,31.6128,57.43,36,0,6.78,1668978787
spas-klepiki,RU,55.1347,24.71,98,100,2.82,1668978787
namibe,AO,-15.1961,74.79,72,100,5.35,1668978787
port elizabeth,ZA,-33.918,58.1,80,16,1.86,1668978565
broken hill,AU,-31.95,54.25,55,64,20.47,1668978788
dongsheng,CN,39.8161,28.99,47,8,4.59,1668978788
bukachacha,RU,52.9833,-4.56,96,32,2.93,1668978789
tsimlyansk,RU,47.6461,46.38,78,100,8.79,1668978789
yulara,AU,-25.2406,67.1,31,95,8.84,1668978789
cortez,US,37.3489,48.04,28,0,11.5,1668978790
mar del plata,AR,-38.0023,60.82,96,100,10.36,1668978641
grindavik,IS,63.8424,41.47,87,75,14.97,1668978624
husavik,IS,66.0449,43.32,80,100,13.18,1668978790
severo-kurilsk,RU,50.6789,33.28,73,97,5.79,1668978791
hermanus,ZA,-34.4187,53.8,78,3,7.31,1668978791
odesskoye,RU,54.2111,9.68,84,100,6.82,1668978792
sugod,PH,12.987,79.63,87,100,9.37,1668978792
sola,VU,-13.8833,82.33,74,19,10.94,1668978793
bluff,NZ,-46.6,58.8,80,67,5.99,1668978793
muros,ES,42.7762,63.09,94,100,24.02,1668978794
alamogordo,US,32.8995,55.4,52,0,5.75,1668978794
altay,CN,47.8667,28.44,98,100,2.48,1668978794
aguimes,ES,27.9054,66.83,73,75,25.32,1668978795
tiksi,RU,71.6872,-14.26,100,97,2.66,1668978795
hailey,US,43.5196,34.99,50,0,0.0,1668978795
fortuna,US,40.5982,61.93,55,0,1.99,1668978796
lazaro cardenas,MX,17.9583,83.98,67,65,7.18,1668978796
